Contrato,Protheus,Cliente,Desde,Dt. Iní. Vigência,Dt. Fim Vigência,Vl. Contratado (R$),Vl. Faturado (R$),Vl. Saldo (R$),Tipo,Situação,Vigente,Dir.,Ger.,Gerente,Objeto
51/2024-SF,3217-1,SF,2024-11-08,2024-11-08,2026-11-07,960380.58,484645.06,475735.52,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-4,Andre Tomiatto de Oliveira,PROJETO NOVO AUTO DE INFRAÇÃO E INTIMAÇÃO - AII
85/SMADS/2023,3006-4,SMADS,2023-11-01,2025-11-09,2026-11-08,15121489.51,5314215.9,9807273.61,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-2,PAULO ROGERIO TAVARES,SUSTENTAÇÃO DE TIC
80-SMADS-2025,3365-0,SMADS,2025-11-14,2025-11-14,2026-11-13,236298.48,0.0,236298.48,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-2,PAULO ROGERIO TAVARES,SERVIÇOS DE ACESSO À REDE CORPORATIVA PMSP E INTERNET SD-WAN
60/FPETC/2022,2870-6,FPETC,2022-11-17,2025-11-17,2026-11-16,840552.06,333499.11,507052.95,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,SUSTENTAÇÃO DE TIC
082/2024-ADESAMPA,3195-1,ADESAMPA,2024-11-18,2025-11-18,2026-11-17,15058.68,4523.12,10535.56,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,DISPONIBILIZAÇÃO DE ACESSO À REDE CORPORATIVA PRODAM
084/SIURB/2025,3366-0,SIURB,2025-11-25,2025-11-25,2026-11-24,2800229.4,512125.54,2288103.86,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SUSTENTAÇÃO DE TIC
015/PGM/2024,3212-4,PGM,2024-12-01,2025-12-01,2026-11-30,25727898.96,5577642.99,20150255.97,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-1,BRUNO ITALO LOPES DOS SANTOS DE SOUZA,SUSTENTAÇÃO E MELHORIAS DE TIC
061/SVMA/2023,3029-5,SVMA,2023-12-02,2025-12-02,2026-12-01,11355198.13,3312843.19,8042354.94,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-1,BRUNO ITALO LOPES DOS SANTOS DE SOUZA,"DISPONIBILIZAÇÃO DE ACESSO À REDE CORPORATIVA PMSP, WIFI E INTERNET"
062/SVMA/2023,3028-3,SVMA,2023-12-02,2025-12-02,2026-12-01,4746600.0,780259.45,3966340.55,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-1,BRUNO ITALO LOPES DOS SANTOS DE SOUZA,SUSTENTAÇÃO DE SERVIÇOS DE INFORMAÇÃO
063/SVMA/2023,3030-7,SVMA,2023-12-02,2025-12-02,2026-12-01,7643665.03,1869187.02,5774478.01,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-1,BRUNO ITALO LOPES DOS SANTOS DE SOUZA,SUSTENTAÇÃO DE INFRAESTUTURA DE TIC
086/2021,2755-4,COHAB,2021-12-06,2021-12-06,2026-12-05,1196166.5,2236296.16,-1040129.66,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,SUSTENTAÇÃO DE TIC
016/SEME/2023,3023-2,SEME,2023-12-08,2025-12-08,2026-12-07,1517312.83,496564.61,1020748.22,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,FORNECIMENTO DE LINKS MPLS COM ACESSO A REDE PMSP E INTERNET
08/SP-REGULA/2024,3216-2,SP REGULA,2024-12-12,2025-12-12,2026-12-11,52064.82,16992.3,35072.52,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SERVIÇOS DE COMUNICAÇÃO DE DADOS - SD-WAN
088/2021,2763-3,COHAB,2021-12-13,2024-06-13,2026-12-12,1004608.8,518169.49,486439.31,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,SERVIÇO MICROSOFT OFFICE 365
51/SMPED/2024,3213-1,SMPED,2024-12-14,2025-12-14,2026-12-13,28590.83,8683.89,19906.94,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,HOSPEDAGEM DO PORTAL DO OBSERVATÓRIO
03/2024,3072-5,SF,2024-02-15,2026-02-15,2026-12-14,93162.92,9804.27,83358.65,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-4,Andre Tomiatto de Oliveira,MODELAGEM E CONSTRUÇÃO DO CHATGPT
505/SME/2023,3032-3,SME,2023-12-15,2023-12-15,2026-12-14,159283245.21,78153856.11,81129389.1,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-1,MALDE MARIA VILAS BOAS        ,FORNECIMENTO SERVIÇOS DE WI-FI GERENCIADO E GERENC. DAS INSTALAÇÕES
024/2023/SMDET,3046-5,SMDET,2023-12-15,2025-12-16,2026-12-15,7020240.18,2091070.69,4929169.49,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-2,PAULO ROGERIO TAVARES,SUSTENTAÇÃO DE TIC
138/2020/SPCINE,2671-10,SPCINE,2020-12-17,2025-12-17,2026-12-17,27486.0,4354.53,23131.47,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SUSTENTAÇÃO DE TIC
19/IPREM/2023,3049-1,IPREM,2023-09-18,2025-12-18,2026-12-17,1876276.96,179629.8,1696647.16,PROJETOS,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,DESENVOLVIMENTO DAS FASES I E II DO SISTEMA DE COMPENSAÇÃO PREVIDENCIÁ
054/SMSU/2023,3033-4,SMSU,2023-12-19,2025-12-19,2026-12-18,4031724.0,1241151.44,2790572.56,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SERVIÇOS MICROSOFT OFFICE 365
385/2023,3034-3,HSPM,2023-12-20,2025-12-20,2026-12-19,115676.4,38558.8,77117.6,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SERVIÇOS DE HOSPEDAGEM DATA CENTER
